TISSUE,DRUG,FEATURE,gt_prob
BRCA,AZD5363,PTEN_mut,1.0
BRCA,AZD7762,"gain_cnaPANCAN302_(CLTC,PPM1D)",0.9
BRCA,AZD8186,PTEN_mut,1.0
BRCA,Afatinib,"gain_cnaPANCAN301_(CDK12,ERBB2,MED24)",1.0
BRCA,Afuresertib,PTEN_mut,1.0
BRCA,Alpelisib,PIK3CA_mut,1.0
BRCA,Alpelisib,"gain_cnaPANCAN301_(CDK12,ERBB2,MED24)",1.0
BRCA,BMS-754807,"gain_cnaPANCAN280_(ARID4B,FH)",1.0
BRCA,Cediranib,gain_cnaPANCAN87,1.0
BRCA,Cediranib,"gain_cnaPANCAN88_(PABPC1,UBR5)",1.0
BRCA,Eg5_9814,gain_cnaPANCAN177_(IL7R),1.0
BRCA,Foretinib,gain_cnaPANCAN87,1.0
BRCA,Gefitinib,gain_cnaPANCAN124_(EGFR),1.0
BRCA,Ibrutinib,"gain_cnaPANCAN301_(CDK12,ERBB2,MED24)",1.0
BRCA,Ipatasertib,PTEN_mut,1.0
BRCA,Lapatinib,"gain_cnaPANCAN301_(CDK12,ERBB2,MED24)",1.0
BRCA,MK-1775,"gain_cnaPANCAN280_(ARID4B,FH)",1.0
BRCA,Navitoclax,"gain_cnaPANCAN272_(PIP5K1A,SETDB1)",1.0
BRCA,Nutlin-3a (-),TP53_mut,1.0
BRCA,Osimertinib,"gain_cnaPANCAN301_(CDK12,ERBB2,MED24)",1.0
BRCA,PF-4708671,"loss_cnaPANCAN210_(FAT1,IRF2)",1.0
BRCA,PFI-1,gain_cnaPANCAN87,1.0
BRCA,Paclitaxel,gain_cnaPANCAN87,0.9
BRCA,Paclitaxel,"gain_cnaPANCAN88_(PABPC1,UBR5)",0.9
BRCA,Pyridostatin,"gain_cnaPANCAN367_(ARFGAP1,GNAS)",1.0
BRCA,Sapitinib,"gain_cnaPANCAN301_(CDK12,ERBB2,MED24)",1.0
BRCA,Sapitinib,gain_cnaPANCAN363_(ASXL1),1.0
BRCA,Taselisib,PIK3CA_mut,1.0
BRCA,Tozasertib,"gain_cnaPANCAN367_(ARFGAP1,GNAS)",1.0
BRCA,Uprosertib,"loss_cnaPANCAN210_(FAT1,IRF2)",1.0
BRCA,VTP-B,loss_cnaPANCAN93,1.0
BRCA,VTP-B,loss_cnaPANCAN94,1.0
BRCA,VTP-B,loss_cnaPANCAN95,1.0
BRCA,VTP-B,loss_cnaPANCAN96,1.0
BRCA,Vinorelbine,"gain_cnaPANCAN88_(PABPC1,UBR5)",1.0
LUAD,5-Fluorouracil,loss_cnaPANCAN337,0.0
LUAD,5-Fluorouracil,loss_cnaPANCAN338,0.0
LUAD,AGK2,loss_cnaPANCAN338,0.3
LUAD,AMG-319,loss_cnaPANCAN338,0.0
LUAD,AZD3759,loss_cnaPANCAN96,1.0
LUAD,AZD4547,loss_cnaPANCAN338,0.0
LUAD,Afatinib,loss_cnaPANCAN337,0.0
LUAD,Avagacestat,loss_cnaPANCAN337,0.0
LUAD,BI-2536,loss_cnaPANCAN337,0.1
LUAD,BMS-754807,loss_cnaPANCAN337,0.0
LUAD,Bortezomib,loss_cnaPANCAN337,0.0
LUAD,Bosutinib,loss_cnaPANCAN337,0.0
LUAD,Buparlisib,loss_cnaPANCAN337,0.0
LUAD,CCT007093,loss_cnaPANCAN338,0.0
LUAD,Cediranib,loss_cnaPANCAN338,0.0
LUAD,Crizotinib,loss_cnaPANCAN337,0.0
LUAD,Crizotinib,loss_cnaPANCAN338,0.0
LUAD,Dactinomycin,loss_cnaPANCAN337,0.0
LUAD,Daporinad,loss_cnaPANCAN92,1.0
LUAD,Dasatinib,loss_cnaPANCAN337,0.0
LUAD,Doramapimod,loss_cnaPANCAN337,0.0
LUAD,ERK_2440,TP53_mut,1.0
LUAD,Erlotinib,loss_cnaPANCAN96,1.0
LUAD,Fulvestrant,loss_cnaPANCAN337,0.0
LUAD,GNE-317,loss_cnaPANCAN337,0.0
LUAD,Gefitinib,loss_cnaPANCAN337,0.0
LUAD,Gefitinib,loss_cnaPANCAN96,0.9
LUAD,Ibrutinib,loss_cnaPANCAN96,0.8
LUAD,Ipatasertib,STK11_mut,1.0
LUAD,Ipatasertib,loss_cnaPANCAN338,0.0
LUAD,JQ1,loss_cnaPANCAN337,0.0
