tissue,feature,drug
BRCA,"gain_cnaPANCAN301_(CDK12,ERBB2,MED24)",Ibrutinib
BRCA,PIK3CA_mut,Taselisib
BRCA,"gain_cnaPANCAN301_(CDK12,ERBB2,MED24)",Sapitinib
BRCA,"gain_cnaPANCAN301_(CDK12,ERBB2,MED24)",Osimertinib
BRCA,PIK3CA_mut,Alpelisib
BRCA,"gain_cnaPANCAN301_(CDK12,ERBB2,MED24)",Afatinib
BRCA,"gain_cnaPANCAN301_(CDK12,ERBB2,MED24)",Lapatinib
BRCA,gain_cnaPANCAN87,Cediranib
BRCA,PTEN_mut,AZD8186
BRCA,loss_cnaPANCAN93,VTP-B
BRCA,loss_cnaPANCAN94,VTP-B
BRCA,loss_cnaPANCAN95,VTP-B
BRCA,loss_cnaPANCAN96,VTP-B
BRCA,PTEN_mut,Afuresertib
LUAD,loss_cnaPANCAN92,Daporinad
BRCA,"gain_cnaPANCAN301_(CDK12,ERBB2,MED24)",Alpelisib
BRCA,PTEN_mut,Ipatasertib
BRCA,gain_cnaPANCAN87,PFI-1
LUAD,STK11_mut,Nutlin-3a (-)
BRCA,TP53_mut,Nutlin-3a (-)
LUAD,loss_cnaPANCAN96,Sapitinib
BRCA,"gain_cnaPANCAN88_(PABPC1,UBR5)",Cediranib
BRCA,PTEN_mut,AZD5363
BRCA,"loss_cnaPANCAN210_(FAT1,IRF2)",Uprosertib
BRCA,gain_cnaPANCAN87,Foretinib
BRCA,"gain_cnaPANCAN367_(ARFGAP1,GNAS)",Tozasertib
LUAD,loss_cnaPANCAN96,AZD3759
BRCA,"gain_cnaPANCAN367_(ARFGAP1,GNAS)",Pyridostatin
BRCA,"gain_cnaPANCAN272_(PIP5K1A,SETDB1)",Navitoclax
BRCA,"gain_cnaPANCAN280_(ARID4B,FH)",BMS-754807
BRCA,"gain_cnaPANCAN88_(PABPC1,UBR5)",Vinorelbine
BRCA,gain_cnaPANCAN363_(ASXL1),Sapitinib
BRCA,gain_cnaPANCAN177_(IL7R),Eg5_9814
BRCA,gain_cnaPANCAN87,Paclitaxel
BRCA,"loss_cnaPANCAN210_(FAT1,IRF2)",PF-4708671
LUAD,loss_cnaPANCAN96,Erlotinib
BRCA,"gain_cnaPANCAN88_(PABPC1,UBR5)",Paclitaxel
LUAD,gain_cnaPANCAN164_(KRAS),TAF1_5496
LUAD,loss_cnaPANCAN96,Gefitinib
LUAD,STK11_mut,Ipatasertib
LUAD,TP53_mut,ERK_2440
BRCA,"gain_cnaPANCAN302_(CLTC,PPM1D)",AZD7762
LUAD,gain_cnaPANCAN164_(KRAS),OF-1
BRCA,"gain_cnaPANCAN280_(ARID4B,FH)",MK-1775
BRCA,gain_cnaPANCAN124_(EGFR),Gefitinib
LUAD,loss_cnaPANCAN94,Sapitinib
LUAD,loss_cnaPANCAN95,Sapitinib
LUAD,gain_cnaPANCAN164_(KRAS),LGK974
LUAD,gain_cnaPANCAN91_(MYC),KRAS (G12C) Inhibitor-12
LUAD,loss_cnaPANCAN96,Ibrutinib
LUAD,loss_cnaPANCAN337,Veliparib
LUAD,loss_cnaPANCAN337,Serdemetan
LUAD,loss_cnaPANCAN337,Sapitinib
LUAD,loss_cnaPANCAN337,Lenalidomide
LUAD,loss_cnaPANCAN337,Avagacestat
LUAD,loss_cnaPANCAN337,VE821
LUAD,loss_cnaPANCAN337,Vismodegib
LUAD,loss_cnaPANCAN338,CCT007093
LUAD,loss_cnaPANCAN337,GNE-317
LUAD,loss_cnaPANCAN337,BMS-754807
LUAD,loss_cnaPANCAN337,Motesanib
LUAD,loss_cnaPANCAN337,JQ1
LUAD,loss_cnaPANCAN337,Tanespimycin
LUAD,loss_cnaPANCAN337,Bosutinib
LUAD,loss_cnaPANCAN337,BI-2536
LUAD,loss_cnaPANCAN337,Rucaparib
LUAD,loss_cnaPANCAN338,Pyridostatin
LUAD,loss_cnaPANCAN337,Temsirolimus
LUAD,loss_cnaPANCAN338,AGK2
LUAD,loss_cnaPANCAN338,Olaparib
LUAD,loss_cnaPANCAN338,AMG-319
LUAD,loss_cnaPANCAN338,PD0325901
LUAD,loss_cnaPANCAN337,RO-3306
LUAD,loss_cnaPANCAN338,AZD4547
LUAD,loss_cnaPANCAN338,Crizotinib
LUAD,loss_cnaPANCAN337,PD173074
LUAD,loss_cnaPANCAN337,Fulvestrant
LUAD,loss_cnaPANCAN338,Luminespib
LUAD,loss_cnaPANCAN338,SB216763
LUAD,loss_cnaPANCAN338,Ribociclib
LUAD,loss_cnaPANCAN337,MK-1775
LUAD,loss_cnaPANCAN337,Doramapimod
LUAD,loss_cnaPANCAN337,Dactinomycin
LUAD,loss_cnaPANCAN337,Afatinib
LUAD,loss_cnaPANCAN337,Talazoparib
LUAD,loss_cnaPANCAN337,Crizotinib
LUAD,loss_cnaPANCAN337,Buparlisib
LUAD,loss_cnaPANCAN338,LJI308
LUAD,loss_cnaPANCAN337,Dasatinib
LUAD,loss_cnaPANCAN338,Ulixertinib
LUAD,loss_cnaPANCAN338,Ipatasertib
LUAD,loss_cnaPANCAN338,Cediranib
LUAD,loss_cnaPANCAN338,5-Fluorouracil
LUAD,loss_cnaPANCAN337,LJI308
LUAD,loss_cnaPANCAN338,Vinorelbine
LUAD,loss_cnaPANCAN337,Gefitinib
LUAD,loss_cnaPANCAN338,Osimertinib
LUAD,loss_cnaPANCAN338,RO-3306
LUAD,loss_cnaPANCAN337,Bortezomib
LUAD,loss_cnaPANCAN337,5-Fluorouracil
